К содержанию;;;;;;;;;;;;;;;;;;;;;
;Перевезено грузов автомобильным транспортом по субъектам Российской Федерации                                                                                                               ;;;;;;;;;;;;;;;;;;;;
(миллион тонн);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Новгородская область;21,4;20,8;17,4;19,1;18;21,8;17;16,4;15,4;10,4;12,3;13,9;14,3;15;15,7;16,7;17,8;18,5;23;25,3;21,3
Псковская область;10;10,8;11;11,4;8,2;8,2;9,1;8,3;8,2;6,2;7,1;7,6;7,5;6,1;6,3;5,9;4,3;4,1;3,9;4,5;4,3
г. Санкт-Петербург;31,7;26,9;21,2;20,7;26,5;26;37,6;37,8;43,5;34,2;30,7;34,5;38,0 2);35,9;26,4;32,5;24,7;19,4;22,6;23,3;29
Южный федеральный округ;265,8;277,5;282,3;337,9;286,4;262,5;265,8;258;213,4;194,6;200,1;202,7;216,3;216,7;191;181,1;170,9;158,4;145,2;146,5;146
Республика Адыгея ;11,4;11,6;11,2;9,9;13;14,7;45,3;17,7;9,5;6;6,3;6,4;6,3;6,8;7,5;6,8;7,4;6,3;5,2;6,3;7,4
Республика Калмыкия;5,1;5,8;5,5;5,3;4,4;4,4;4,5;3,5;3,3;3,8;1,9;1,9;1,9;1,5;1,3;1,2;0,6;0,5;1;1,3;1,1
Республика Крым;;;;;;;;;;;;;;;6,2;5;3,5;8,6;7,2;7,9;7,3
Краснодарский край;130,2;129,7;133,5;168,3;113;99,1;119,2;144,6;110,5;104,2;112,9;112,3;121,6;119,7;88,3;84,6;78,8;69,4;64,7;67,5;63,5
Астраханская область;8,6;7,5;9;10,6;10;7,9;7,7;7,7;6,9;5,8;5;5,8;5,3;5,4;6,3;4,9;4,3;3,5;2,6;3,8;3,2
Волгоградская область;27,4;24,2;23,7;24,6;25,4;22,7;22,3;19,8;21,3;14,7;15;18,6;21,2;21,9;20,3;17,9;15,4;14,9;14,4;12,6;11,9
Ростовская область;83,1;98,7;99,4;119;120,7;113,6;66,8;64,7;61,9;60,1;58,9;57,7;60,1;61,4;60,3;60;60,4;54,6;49,2;46,6;50,8
г. Севастополь;;;;;;;;;;;;;;;0,8;0,7;0,3;0,4;1;0,6;0,7
Северо-Кавказский федеральный округ;75,9;77;83,8;110,4;104,2;187,1;171,3;98,8;98,4;80,9;75,2;78;82;76,9;71,3;54,3;52,3;48,6;48,6;41,8;33,6
Республика Дагестан;10,2;10,8;7,4;22,2;17,7;8,2;9,1;9,3;10,7;8,4;8,1;6,6;9,3;8,6;6,9;3,4;4,2;5,4;9;4,4;3,4
Республика Ингушетия;1,8;0;1,4;2,2;0,4;0,5;2,6;1,8;1,7;1,2;0,7;0,8;0,3;0,5;1,8;2,1;0,2;0,2;1,1;1,1;0,8
